safetyreportid,field_count_raw,field_count_converted
23423401,61,61
23248661,83,83
23423845,80,80
23251700,85,85
22180525,75,75
23257476,73,73
22199141,77,77
23257786,57,57
22201842,65,65
20230229,54,54
23450781,72,72
20373490,70,70
23003947,69,69
20428651,80,80
23021471,78,78
20459875,66,66
23029543,76,76
20553863,75,75
23034026,76,76
20670193,73,73
23034336,73,73
20685326,75,75
23044070,74,74
20763558,68,68
23052103,72,72
22849285,65,65
23059122,68,68
22855684,69,69
23061781,61,61
22881456,78,78
23434241,66,66
22881861,75,75
23464551,66,66
22901882,82,82
23451804,82,82
22903125,67,67
23452748,79,79
22910820,75,75
23454463,72,72
23263794,82,82
22916368,78,78
22911926,74,74
22926169,61,61
22932567,78,78
22930342,74,74
22943259,82,82
22936012,77,77
23304794,56,56
23193244,76,76
23307157,67,67
23194445,83,83
23388794,58,58
23198238,71,71
23389551,68,68
23472651,72,72
23389942,77,77
23473003,75,75
23041635,66,66
23474042,72,72
23045361,66,66
23474729,78,78
23056268,70,70
23457985,83,83
23056888,73,73
22944422,66,66
23057173,71,71
22946486,69,69
23063734,69,69
22970032,64,64
23066946,83,83
22972096,79,79
23068485,70,70
23010331,66,66
23075102,80,80
23202788,77,77
23082917,77,77
23460242,76,76
23083255,83,83
23461753,71,71
23313475,70,70
23462792,70,70
23315028,80,80
23462954,64,64
23315958,82,82
23463711,73,73
23317969,83,83
23464183,77,77
23324181,73,73
23464440,67,67
23329027,70,70
23465775,82,82
23329876,82,82
23466141,66,66
23330351,74,74
23466613,77,77
23332739,57,57
23031592,71,71
23333859,68,68
23051923,73,73
23390403,77,77
23058322,62,62
23390942,74,74
23058375,66,66
23335507,75,75
23073011,79,79
23335736,72,72
23275931,72,72
23339624,73,73
23276350,76,76
23339800,70,70
23289215,74,74
23345685,69,69
23298530,67,67
23346347,72,72
23301379,76,76
21344208,49,49
23302136,81,81
21354696,75,75
23483734,70,70
21356601,67,67
23127954,67,67
21457971,69,69
23135339,73,73
21472794,76,76
23136392,69,69
21530494,72,72
23137526,67,67
21542697,61,61
23137540,69,69
21556953,69,69
23304471,65,65
23127238,70,70
23305214,56,56
23129883,52,52
23309155,80,80
21559989,69,69
23319886,79,79
23394249,67,67
23320118,63,63
23394911,61,61
23320886,66,66
23395369,63,63
23488256,77,77
23395679,83,83
23488418,81,81
23395855,81,81
23488432,77,77
23397637,67,67
23488728,58,58
23351640,66,66
23488876,66,66
23353718,77,77
23491214,70,70
23354070,67,67
23471730,66,66
23356391,50,50
23472445,75,75
